Bheemili,Dakamarri,Seethayya Tank,LS,GP,Auction,12.00,6.00,
Bheemili,Dakamarri,Ramineni Tank,SS,GP,Auction,13.00,2.00,
Bheemili,Dakamarri,Manchgupalli tank ,SS,GP,Auction,11.00,2.00,
Bheemili,Dakamarri,Pedda Koneru,SS,GP,Auction,14.00,1.00,
Bheemili,Dakamarri,Komati Tank,SS,GP,Auction,11.00,3.00,
Bheemili,Dakamarri,Kotha Tank ,SS,GP,Auction,13.00,2.00,
Bheemili,Dakamarri,Chenna Koneru,SS,GP,Auction,11.00,1.00,
Bheemili,Dakamarri,Gedda Koneru,SS,GP,Auction,7.00,1.00,
Bheemili,kapula uppada,Badiva Tank,SS,GP,Auction,19.00,6.00,
Bheemili,kapula uppada,Kambala Tank,SS,GP,Auction,22.00,9.00,
Bheemili,ch.Uppada ,Nagali Tank,SS,GP,Auction,11.00,3.00,
Bheemili,ch.Uppada ,Kotha Cheruvu,SS,GP,Auction,13.00,4.00,
Bheemili,ch.Uppada ,Chintha Tank,SS,GP,Auction,15.00,1.00,
Bheemili,ch.Uppada ,Marri tank,SS,GP,Auction,11.00,5.00,
Bheemili,kapula uppada,Boravani Tank,SS,GP,Auction,8.00,5.00,
Bheemili,kapula uppada,Dhumpavani Tank,SS,GP,Auction,11.00,7.00,
Bheemili,kapula uppada,Devadevani Tank,SS,GP,Auction,9.00,4.00,
Bheemili,kapula uppada,Lakshmi Devi Tank,SS,GP,Auction,15.00,2.00,
Bheemili,kapula uppada,Panduvani tank,SS,GP,Auction,13.00,2.00,
Bheemili,kapula uppada,Pothinavani Tank,SS,GP,Auction,15.00,2.00,
Bheemili,Tagarapuvalasa,Kandi Tank,SS,GP,Auction,4.00,3.00,
Bheemili,Sangivalasa,Sangivalasa Tank,SS,GP,Auction,5.00,5.00,
Bheemili,Nammivanipeta,Yerra Cheruvu,SS,GP,Auction,3.00,3.00,
Bheemili,Majjivalasa,Chittivalasa Koneru,SS,GP,Auction,2.00,2.00,
Bheemili,Chittivalasa,Keetenpeta Koneru,SS,GP,Auction,2.00,2.00,
Bheemili,Dakamarri,Mokeravani Tank,SS,GP,Auction,3.00,2.00,
Bheemili,Chillapeta,Raja Cheruvu,SS,GP,Auction,2.00,1.00,
Bheemili,Majjivalasa,Yanam Tank,SS,GP,Auction,2.00,2.00,
Bheemili,Tagarapuvalasa,Nagarapalem Banda,SS,GP,Auction,4.00,2.00,
BHEEMILI,,Pedda Tank,SS,MI,LEASE,128.00,32.00,
BHEEMILI,,Illamadevi Tank,SS,MI,LEASE,163.04,38.00,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
