1,Hiramandalam,Gotta,Chukkavani Tank,SS,GP,Lease,22.9,6.23,,1
2,Hiramandalam,M.L.Puram,Chakalavani Tank,SS,GP,Lease,6.14,1.67,,1
3,Hiramandalam,Mamidijola,Pothalavani Tank,SS,GP,Lease,6.65,1.81,,1
4,Hiramandalam,Mamidijola ,Kotha Tank,SS,GP,Lease,8.65,2.36,,1
5,Hiramandalam,Lokonda,Boddakarra,SS,GP,Lease,11.16,3.04,,1
6,Hiramandalam,Komanapalli,Karnam Tank,SS,GP,Lease,14.53,3.96,,1
7,Hiramandalam,Komanapalli,Kotha Tank,SS,GP,Lease,19.46,5.3,,1
8,Hiramandalam,Komanapalli,Naidu Tank,SS,GP,Lease,19.84,5.4,,1
9,Hiramandalam,Rugada,Chintala Tank,SS,GP,Lease,19.44,5.29,,1
10,Hiramandalam,Rugada,Jannivari Tank,SS,GP,Lease,15.68,4.27,,1
11,Hiramandalam,Hiramandalam,Sakijola Tank,SS,GP,Lease,9.41,2.56,,1
12,Hiramandalam,Hiramandalam,Kummaravani Tank,SS,GP,Lease,3.51,0.96,,1
13,Hiramandalam,Hiramandalam,Santha Koneru ,SS,GP,Lease,3.39,0.92,,1
14,Hiramandalam,Hiramandalam,Polinaidu Tank,SS,GP,Lease,3.14,0.85,,1
15,Hiramandalam,Hiramandalam,Kasanna Tank,SS,GP,Lease,13.17,3.58,,1
16,Hiramandalam,Hiramandalam,Nowguda Tank,SS,GP,Lease,13.17,3.58,,1
17,L.N.Peta,Gottipalli,Kondagedda Tank,SS,GP,Lease,21.73,5.92,,1
18,Sarubujjili,Palavalasa ,Marri Tank,SS,GP,Lease,15.68,4.27,,1
19,Sarubujjili,Sarubujjili,Voora Tank,SS,GP,Lease,28.22,7.68,,1
20,Sarubujjili,Sarubujjili,Ravikarra Tank,SS,GP,Lease,15.05,4.1,,1
1,Hiramandalam,Dhanupuram,Pedda Tank,SS,GP,AUCTION,18.09,4.5,,1
2,Hiramandalam,Dhanupuram,Chinna Tank,SS,GP,AUCTION,10.9,2.55,,1
3,Hiramandalam,Dhanupuram,Voora Tank,SS,GP,AUCTION,10.5,2.44,,1
4,Hiramandalam,Dhanupuram,Naidu Tank,SS,GP,AUCTION,10.5,2.44,,1
5,Hiramandalam,Chorlangi,Kopmati Tank,SS,GP,AUCTION,12.8,3.06,,1
6,Hiramandalam,Chorlangi,Kamasali Tank,SS,GP,AUCTION,12.04,2.86,,1
7,Hiramandalam,Chorlangi,Kotha Tank,SS,GP,AUCTION,10.49,2.44,,1
8,Hiramandalam,Chorlangi,Tathapappamma Tank,SS,GP,AUCTION,10.31,2.39,,1
9,Hiramandalam,Chorlangi,Gowtham Naidu Tank,SS,GP,AUCTION,11.34,2.67,,1
10,Hiramandalam,Chorlangi,Seethamma Tank,SS,GP,AUCTION,10.26,2.37,,1
11,Hiramandalam,Chorlangi,Komati Tank,SS,GP,AUCTION,15.96,3.92,,1
