1,1,202896,Kambhampadu,2019-10-18 09:08:06.190231,2019-10-18 09:08:06.190231
2,439,0,888888888,2019-10-18 09:08:06.20408,2019-10-18 09:08:06.20408
3,371,204453,10. bollavaram,2019-10-18 09:08:06.21475,2019-10-18 09:08:06.21475
4,473,197511,102.e.ramireddygaripalle,2019-10-18 09:08:06.226585,2019-10-18 09:08:06.226585
5,473,197525,106.ramireddigaripalle,2019-10-18 09:08:06.235605,2019-10-18 09:08:06.235605
6,455,200575,113 tyllur,2019-10-18 09:08:06.244081,2019-10-18 09:08:06.244081
7,649,198065,12.kammapalle,2019-10-18 09:08:06.268634,2019-10-18 09:08:06.268634
8,536,197697,121.pedduru,2019-10-18 09:08:06.281099,2019-10-18 09:08:06.281099
9,649,198066,14.kandriga muslimwada,2019-10-18 09:08:06.291772,2019-10-18 09:08:06.291772
10,649,198067,155 kammapalle,2019-10-18 09:08:06.306857,2019-10-18 09:08:06.306857
11,649,198068,184.gollapalle,2019-10-18 09:08:06.319281,2019-10-18 09:08:06.319281
12,176,197004,197 ramapuram,2019-10-18 09:08:06.329432,2019-10-18 09:08:06.329432
13,115,196936,29 a.chintamakulapalle,2019-10-18 09:08:06.339225,2019-10-18 09:08:06.339225
14,536,197679,30 sonneganipalle,2019-10-18 09:08:06.347098,2019-10-18 09:08:06.347098
15,51,196799,45.gollapalli,2019-10-18 09:08:06.354705,2019-10-18 09:08:06.354705
16,204,197077,45.kothapalle,2019-10-18 09:08:06.362772,2019-10-18 09:08:06.362772
17,338,204418,49 bannur,2019-10-18 09:08:06.370158,2019-10-18 09:08:06.370158
18,536,197680,64 pedduru,2019-10-18 09:08:06.378485,2019-10-18 09:08:06.378485
19,184,196076,75.veerapuram,2019-10-18 09:08:06.385946,2019-10-18 09:08:06.385946
20,428,200540,75-tyallur,2019-10-18 09:08:06.394957,2019-10-18 09:08:06.394957
21,552,197733,79.chintamakulapalle,2019-10-18 09:08:06.402809,2019-10-18 09:08:06.402809
22,215,204206,80 bannur,2019-10-18 09:08:06.414025,2019-10-18 09:08:06.414025
23,553,197758,81.upparapalle,2019-10-18 09:08:06.422124,2019-10-18 09:08:06.422124
24,655,196746,85 nittor,2019-10-18 09:08:06.429991,2019-10-18 09:08:06.429991
25,291,200324,88 tyalluru,2019-10-18 09:08:06.437246,2019-10-18 09:08:06.437246
26,495,197625,89.peddur,2019-10-18 09:08:06.444938,2019-10-18 09:08:06.444938
27,2,214262,A vemavaram,2019-10-18 09:08:06.452919,2019-10-18 09:08:06.452919
28,50,203978,A. kodur,2019-10-18 09:08:06.460619,2019-10-18 09:08:06.460619
